"分数","分档人数(1分档)","累计人数(>=","累计人数(<=","累计百分比(>="
167,10,985,8578,0.103108971003873
168,23,975,8601,0.102062179420077
169,11,952,8612,0.0996545587773474
170,13,941,8625,0.0985030880351722
171,8,928,8633,0.0971422589762378
172,19,920,8652,0.0963048257092013
173,11,901,8663,0.0943159216999895
174,9,890,8672,0.0931644509578143
175,12,881,8684,0.0922223385323982
176,10,869,8694,0.0909661886318434
177,14,859,8708,0.0899193970480477
178,5,845,8713,0.0884538888307338
179,10,840,8723,0.087930493038836
180,12,830,8735,0.0868837014550403
181,6,818,8741,0.0856275515544855
182,8,812,8749,0.0849994766042081
183,4,804,8753,0.0841620433371716
184,14,800,8767,0.0837433267036533
185,10,786,8777,0.0822778184863394
186,4,776,8781,0.0812310269025437
187,11,772,8792,0.0808123102690254
188,3,761,8795,0.0796608395268502
189,3,758,8798,0.0793468020517115
190,7,755,8805,0.0790327645765728
191,4,748,8809,0.0783000104679158
192,11,744,8820,0.0778812938343976
193,10,733,8830,0.0767298230922223
194,1,723,8831,0.0756830315084267
195,19,722,8850,0.0755783523500471
196,16,703,8866,0.0735894483408353
197,9,687,8875,0.0719145818067623
198,4,678,8879,0.0709724693813462
